"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_PLEITO";"DT_PLEITO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"SG_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"NR_SECAO";"NR_LOCAL_VOTACAO";"CD_CARGO_PERGUNTA";"DS_CARGO_PERGUNTA";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"DT_BU_RECEBIDO";"QT_APTOS";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"CD_TIPO_URNA";"DS_TIPO_URNA";"CD_TIPO_VOTAVEL";"DS_TIPO_VOTAVEL";"NR_VOTAVEL";"NM_VOTAVEL";"QT_VOTOS";"NR_URNA_EFETIVADA";"CD_CARGA_1_URNA_EFETIVADA";"CD_CARGA_2_URNA_EFETIVADA";"CD_FLASHCARD_URNA_EFETIVADA";"DT_CARGA_URNA_EFETIVADA";"DS_CARGO_PERGUNTA_SECAO";"DS_SECOES_AGREGADAS";"DT_ABERTURA";"DT_ENCERRAMENTO";"QT_ELEI_BIOM_SEM_HABILITACAO";"DT_EMISSAO_BU";"NR_JUNTA_APURADORA";"NR_TURMA_APURADORA"
"09/10/2024";"16:36:29";2024;0;"Eleição Ordinária";452;"2024-10-06 00:00:00";1;619;"Eleições Municipais 2024";"RO";132;"VILHENA";4;194;1376;13;"Vereador";25;"PRD";"Partido Renovação Democrática";"2024-10-06 18:32:57";285;180;105;1;"Apurada";1;"Nominal";25777;"DEUSELI DE AVILA";1;2251418;"288.672.443.529.861.184.";"003.631";"FA6715F2";"2024-09-26 15:50:00";"13 - 194";"#NULO#";"2024-10-06 07:00:01";"2024-10-06 16:01:53";"14";"2024-10-06 16:03:34";"-1";"-1"
"09/10/2024";"16:36:29";2024;0;"Eleição Ordinária";452;"2024-10-06 00:00:00";1;619;"Eleições Municipais 2024";"RO";35;"PORTO VELHO";21;250;1112;13;"Vereador";45;"PSDB";"Partido da Social Democracia Brasileira";"2024-10-06 17:57:04";310;204;106;1;"Apurada";1;"Nominal";45300;"MARCIA SOCORRISTAS ANIMAIS";1;2055429;"411.966.949.064.425.058.";"780.997";"5108DE6A";"2024-09-26 09:16:00";"13 - 250";"#NULO#";"2024-10-06 07:00:01";"2024-10-06 16:06:31";"10";"2024-10-06 16:09:22";"-1";"-1"
"09/10/2024";"16:36:29";2024;0;"Eleição Ordinária";452;"2024-10-06 00:00:00";1;619;"Eleições Municipais 2024";"RO";35;"PORTO VELHO";20;352;1368;13;"Vereador";45;"PSDB";"Partido da Social Democracia Brasileira";"2024-10-06 17:55:08";308;209;99;1;"Apurada";1;"Nominal";45300;"MARCIA SOCORRISTAS ANIMAIS";2;2053291;"240.238.084.614.586.956.";"596.931";"549A05A9";"2024-09-24 11:38:00";"13 - 352";"#NULO#";"2024-10-06 07:00:01";"2024-10-06 16:01:40";"7";"2024-10-06 16:03:38";"-1";"-1"
"09/10/2024";"16:36:29";2024;0;"Eleição Ordinária";452;"2024-10-06 00:00:00";1;619;"Eleições Municipais 2024";"RO";94;"CACOAL";11;244;1414;13;"Vereador";27;"DC";"Democracia Cristã";"2024-10-06 19:09:33";322;244;78;1;"Apurada";1;"Nominal";27222;"IRMÃO ELIAS";1;2250709;"084.326.982.509.332.027.";"624.383";"09461661";"2024-09-26 14:12:00";"13 - 244";"#NULO#";"2024-10-06 07:00:01";"2024-10-06 16:02:09";"21";"2024-10-06 16:03:57";"-1";"-1"
"09/10/2024";"16:36:29";2024;0;"Eleição Ordinária";452;"2024-10-06 00:00:00";1;619;"Eleições Municipais 2024";"RO";35;"PORTO VELHO";21;187;1198;13;"Vereador";77;"SOLIDARIEDADE";"Solidariedade";"2024-10-06 17:34:30";295;229;66;1;"Apurada";1;"Nominal";77456;"TERRINHA";1;2055756;"906.815.326.606.775.761.";"986.115";"BDD5AE95";"2024-09-26 08:33:00";"13 - 187";"#NULO#";"2024-10-06 07:00:01";"2024-10-06 16:03:10";"13";"2024-10-06 16:05:26";"-1";"-1"
"09/10/2024";"16:36:29";2024;0;"Eleição Ordinária";452;"2024-10-06 00:00:00";1;619;"Eleições Municipais 2024";"RO";35;"PORTO VELHO";21;117;1104;13;"Vereador";45;"PSDB";"Partido da Social Democracia Brasileira";"2024-10-06 17:51:05";305;218;87;1;"Apurada";1;"Nominal";45300;"MARCIA SOCORRISTAS ANIMAIS";1;2016882;"462.471.399.180.617.534.";"433.363";"E0F9EED1";"2024-09-26 11:24:00";"13 - 117";"#NULO#";"2024-10-06 07:00:01";"2024-10-06 16:03:03";"5";"2024-10-06 16:05:11";"-1";"-1"
"09/10/2024";"16:36:29";2024;0;"Eleição Ordinária";452;"2024-10-06 00:00:00";1;619;"Eleições Municipais 2024";"RO";132;"VILHENA";4;234;1090;13;"Vereador";22;"PL";"Partido Liberal";"2024-10-06 18:33:03";251;174;77;1;"Apurada";1;"Nominal";22789;"ELIS REGINA PSICÓLOGA";1;2252004;"157.359.985.680.905.092.";"120.512";"37F96065";"2024-09-26 16:16:00";"13 - 234";"#NULO#";"2024-10-06 07:00:01";"2024-10-06 16:00:57";"11";"2024-10-06 16:03:28";"-1";"-1"
"09/10/2024";"16:36:29";2024;0;"Eleição Ordinária";452;"2024-10-06 00:00:00";1;619;"Eleições Municipais 2024";"RO";35;"PORTO VELHO";21;200;1201;13;"Vereador";27;"DC";"Democracia Cristã";"2024-10-06 17:29:36";313;240;73;1;"Apurada";1;"Nominal";27500;"CARLOS ADRIANO";1;2017532;"664.491.844.482.979.228.";"597.359";"BDD5AE95";"2024-09-26 11:35:00";"13 - 200";"#NULO#";"2024-10-06 07:00:01";"2024-10-06 16:03:48";"14";"2024-10-06 16:06:50";"-1";"-1"
"09/10/2024";"16:36:29";2024;0;"Eleição Ordinária";452;"2024-10-06 00:00:00";1;619;"Eleições Municipais 2024";"RO";35;"PORTO VELHO";21;200;1201;13;"Vereador";36;"AGIR";"AGIR";"2024-10-06 17:29:36";313;240;73;1;"Apurada";1;"Nominal";36361;"PASTOR MARCOS DO BEM";1;2017532;"664.491.844.482.979.228.";"597.359";"BDD5AE95";"2024-09-26 11:35:00";"13 - 200";"#NULO#";"2024-10-06 07:00:01";"2024-10-06 16:03:48";"14";"2024-10-06 16:06:50";"-1";"-1"
"09/10/2024";"16:36:29";2024;0;"Eleição Ordinária";452;"2024-10-06 00:00:00";1;619;"Eleições Municipais 2024";"RO";493;"ITAPUÃ DO OESTE";2;496;1031;13;"Vereador";55;"PSD";"Partido Social Democrático";"2024-10-06 17:14:16";319;251;68;1;"Apurada";1;"Nominal";55555;"BETO";3;2268930;"561.078.212.211.083.076.";"275.827";"12A17B8D";"2024-09-23 16:34:00";"13 - 496";"#NULO#";"2024-10-06 07:00:01";"2024-10-06 16:02:08";"9";"2024-10-06 16:03:46";"-1";"-1"
